Буква, Обозначение
А, энергия начала любых дел, стремление к карьерному и духовному росту.
Б, желание обрести благополучие и щедрость в отношениях с людьми.
В, реализм и общительность, хорошие способности к творчеству.
Г, потребность изучать природу вещей и умение организовывать разные предприятия.
Д, способности к экстрасенсорике, желание создать семейный уют и комфорт.
Е, хорошая интуиция и проницательность, внешняя красота и страстность.
Ж, подверженность страстям и любовь к дорогим вещам.
З, предпочитают уединенный образ жизни, закрыты для большинства людей.
И, мягкая натура полная романтизма, не практичны, но привлекательны для людей.
К, любители бросаться из крайности в крайность, выносливы и требуют уважения к себе.
Л, артистические способности, целеустремленность, желание служить людям.
М, заботливость и застенчивость, желание всегда быть в центре внимания.
Н, бунтари по натуре, но усердны в работе и честно делают свое дело.
О, умеют «делать деньги», чувствуют тенденции современной жизни.
П, очень ценят привлекательный внешний вид, часто зависят от обстоятельств.
Р, авантюризм и желание жить страстями, а не реальными поступками.
С, стремятся к власти, активный человек, показывающий здравость в суждениях.
Т, не умеют выделять главное в жизни, лучше всего чувствуют себя в творческой среде.
У, великодушны, желают помогать людям, не стремятся к жизни в обществе.
Ф, любят внешнюю красоту больше, чем духовное наполнение.
Х, независимы в суждениях, ведут правильный образ жизни.
Э, проницательны и умны, умеют произвести приятное впечатление
Ю, расчетливые и холодные натуры, умеющие скрывать свои истинные помыслы.
Я, испытывают большую потребность в любви и одобрении окружающих людей
